,Datetime,monoterpene_flux,methanol_flux,acetone_flux,acetaldehyde_flux
128,2010-06-29 17:22:00,211.00096,68.51937,29.42654,15.06179
129,2010-06-29 20:22:00,63.44441,20.89597,6.96676,2.898
130,2010-06-30 05:22:00,53.83363,30.99984,24.46642,9.71109
131,2010-06-30 08:22:00,91.57664,83.03259,28.85416,-4.00631
132,2010-06-30 11:22:00,187.01584,119.40399,27.93514,24.1861
133,2010-06-30 14:22:00,116.60673,60.35698,42.11489,19.28091
134,2010-06-30 17:22:00,119.39713,56.14044,28.93906,11.90519
135,2010-06-30 20:22:00,64.85553,36.43561,10.33366,8.90023
136,2010-07-01 02:22:00,18.06546,6.17267,5.1346,2.07274
137,2010-07-01 05:22:00,27.37369,7.35981,7.24803,1.98606
138,2010-07-01 08:22:00,79.41961,50.36389,19.01324,15.87799
139,2010-07-01 11:22:00,116.76966,68.76288,39.21699,30.80078
140,2010-07-01 14:22:00,79.74326,64.57728,25.19692,12.72733
141,2010-07-01 17:22:00,92.31355,50.95467,21.2711,18.82959
142,2010-07-01 20:22:00,65.83097,37.96009,0.96677,4.76873
143,2010-07-01 23:22:00,26.20318,6.3971,6.79147,2.27183
144,2010-07-02 02:22:00,20.98585,-3.34944,9.13878,0.63625
145,2010-07-02 05:22:00,33.92514,-2.14834,-3.95155,-2.13636
146,2010-07-02 08:22:00,32.76929,48.34224,20.41194,9.8095
147,2010-07-02 11:22:00,80.78076,60.15991,16.54897,8.95383
148,2010-07-02 14:22:00,91.9466,75.35084,22.94924,8.61683
149,2010-07-02 17:22:00,143.34556,31.77782,15.04689,19.5186
150,2010-07-02 20:22:00,,9.58078,5.29971,3.78357
151,2010-07-03 05:22:00,117.74889,76.55282,55.79915,14.63583
152,2010-07-03 14:22:00,242.56714,54.92435,17.82404,
153,2010-07-03 17:22:00,112.0144,33.95028,39.10959,17.48016
154,2010-07-03 23:22:00,54.63003,38.18838,21.20591,5.94934
155,2010-07-04 05:22:00,36.80734,15.50062,13.69075,3.03704
156,2010-07-04 08:22:00,150.11676,76.38836,43.64326,
157,2010-07-04 11:22:00,164.25814,8.45481,-1.14855,15.8031
158,2010-07-04 14:22:00,271.73017,61.93242,52.36119,26.19041
159,2010-07-04 17:22:00,269.09518,80.28148,,27.6955
160,2010-07-04 20:22:00,59.07503,22.78495,18.7078,4.06061
161,2010-07-04 23:22:00,28.30601,11.16307,6.99018,2.18643
162,2010-07-05 08:22:00,139.9967,,78.56094,19.769
163,2010-07-05 17:22:00,158.91263,55.45476,38.4716,30.09136
164,2010-07-05 20:22:00,33.78587,10.10062,3.16077,2.21373
165,2010-07-05 23:22:00,30.78231,18.311,9.00612,2.97087
166,2010-07-06 05:22:00,84.40441,22.70374,48.25476,4.33195
167,2010-07-06 08:22:00,125.02391,102.57204,54.33779,
168,2010-07-06 11:22:00,214.4878,32.56909,36.67756,27.56564
169,2010-07-06 14:22:00,239.96917,102.40418,42.41546,38.09975
170,2010-07-06 20:22:00,49.91746,45.16338,21.44563,5.6238
171,2010-07-07 02:22:00,56.51973,-8.4816,10.29556,1.04194
172,2010-07-07 05:22:00,230.41872,-12.55197,3.0939,-1.50344
173,2010-07-07 11:22:00,,-52.07816,34.4337,4.66092
174,2010-07-07 17:22:00,314.0994,20.36009,32.53688,26.50567
175,2010-07-07 23:22:00,24.65546,-1.59294,3.73335,0.93202
176,2010-07-08 02:22:00,23.2238,-5.62907,2.60682,0.68982
177,2010-07-08 05:22:00,108.15909,-1.21878,-1.4525,-1.26733
178,2010-07-08 08:22:00,218.2292,59.07326,54.02004,21.00913
179,2010-07-09 02:22:00,21.59893,9.08519,8.11351,2.21155
180,2010-07-09 05:22:00,58.84983,15.72486,17.71057,2.6118
181,2010-07-09 08:22:00,117.82316,56.30575,36.49422,8.26444
182,2010-07-09 11:22:00,55.54663,44.44583,22.25047,11.70563
183,2010-07-09 14:22:00,129.572,,1.8019,17.08801
184,2010-07-09 17:22:00,135.87036,17.07297,34.79119,3.44726
185,2010-07-09 20:22:00,38.14274,13.35481,9.24841,1.52691
186,2010-07-12 17:22:00,289.88376,107.47806,57.35044,30.153
187,2010-07-12 20:22:00,98.24098,45.59937,36.14241,13.11522
188,2010-07-12 23:22:00,21.28762,8.44011,3.1877,1.84108
189,2010-07-13 05:22:00,173.25167,5.58035,55.78762,5.11764
190,2010-07-13 08:22:00,160.35939,66.24952,52.20437,17.52602
191,2010-07-13 11:22:00,245.56717,-6.9893,21.17479,20.93738
192,2010-07-13 14:22:00,,91.13271,64.82871,
193,2010-07-13 17:22:00,,78.50225,,36.05185
194,2010-07-13 20:22:00,147.14587,34.80444,29.57996,11.0325
195,2010-07-13 23:22:00,54.23581,12.38511,8.94824,3.84585
196,2010-07-14 02:22:00,64.67764,19.77593,20.42118,3.727
197,2010-07-14 05:22:00,300.63515,19.73663,,9.64001
198,2010-07-14 08:22:00,192.6903,36.04664,56.86175,23.14409
199,2010-07-14 11:22:00,300.41043,96.16948,55.77916,
200,2010-07-14 14:22:00,318.22271,-52.8969,57.96968,7.999
201,2010-07-14 17:22:00,151.74375,-30.91692,18.47962,5.2002
202,2010-07-15 14:22:00,283.78651,50.94506,46.09991,35.72089
203,2010-07-15 17:22:00,219.37137,60.64946,34.8122,11.82017
204,2010-07-15 20:22:00,62.15461,-9.44156,8.7386,1.19066
205,2010-07-15 23:22:00,121.2605,,,-4.7353
206,2010-07-16 02:22:00,208.65,,,-5.3396
207,2010-07-16 05:22:00,132.50517,,,1.43633
208,2010-07-16 08:22:00,190.56325,-12.1741,9.73576,15.00211
209,2010-07-16 11:22:00,318.67901,37.43572,8.00837,26.23165
210,2010-07-16 14:22:00,214.38003,70.45464,36.91705,30.6146
211,2010-07-16 17:22:00,121.56174,34.13623,21.63539,11.28727
212,2010-07-16 20:22:00,105.2441,11.74205,13.03364,9.10289
213,2010-07-16 23:22:00,15.43541,-0.68419,3.97213,2.99552
214,2010-07-17 02:22:00,53.99176,-0.56896,-1.57988,3.14541
215,2010-07-17 05:22:00,140.40689,-6.74606,0.9381,10.61716
216,2010-07-17 08:22:00,111.83038,26.66564,27.61145,2.36219
217,2010-07-17 14:22:00,170.88267,71.95253,36.77382,27.60724
218,2010-07-17 17:22:00,305.06708,94.46094,57.77457,30.32986
219,2010-07-18 02:22:00,124.49436,5.18803,16.62043,2.43257
220,2010-07-18 05:22:00,,,-7.60158,-3.7668
221,2010-07-18 08:22:00,98.05646,41.30353,34.53616,11.14614
222,2010-07-18 11:22:00,92.88536,61.77768,19.42494,16.34293
223,2010-07-18 14:22:00,139.78197,37.46217,15.35491,12.32915
224,2010-07-18 17:22:00,80.0014,59.85661,22.38478,16.47383
225,2010-07-18 20:22:00,62.80121,12.89605,6.41601,-0.32749
226,2010-07-18 23:22:00,,1.61157,2.15365,0.52491
227,2010-07-19 05:22:00,135.79561,12.72704,33.46908,-1.71061
228,2010-07-19 20:22:00,22.55934,11.30378,5.80972,3.19512
229,2010-07-19 23:22:00,17.65493,7.37479,5.44693,2.33634
230,2010-07-20 05:22:00,19.44115,8.27337,11.26115,-0.68534
231,2010-07-20 08:22:00,128.88467,51.7097,17.39487,5.71286
232,2010-07-20 11:22:00,122.58291,39.42526,28.46013,11.80267
233,2010-07-20 14:22:00,112.16877,26.99095,12.51301,16.09425
234,2010-07-20 17:22:00,177.78567,59.28206,34.28072,15.56775
235,2010-07-21 02:22:00,28.66466,-5.3125,1.4806,-0.52245
236,2010-07-21 05:22:00,50.27041,10.71983,2.12081,-1.71104
237,2010-07-21 08:22:00,52.72828,43.47541,15.8009,19.37295
238,2010-07-21 11:22:00,134.91201,64.90017,39.11881,24.3257
239,2010-07-21 14:22:00,210.88526,41.9325,,22.19267
240,2010-07-21 17:22:00,208.25518,57.76749,32.17612,19.71704
241,2010-07-21 20:22:00,35.29203,15.13355,7.50302,3.88373
242,2010-07-21 23:22:00,21.44362,2.61292,3.16561,0.69613
243,2010-07-22 05:22:00,30.33179,0.79593,5.54651,0.83518
244,2010-07-22 08:22:00,111.43142,-5.05187,14.61329,8.75872
245,2010-07-22 11:22:00,208.26635,36.83396,52.19971,34.70579
246,2010-07-23 14:22:00,39.96433,44.41038,22.10247,2.9251
247,2010-07-23 17:22:00,37.25607,15.87036,8.34654,0.61275
248,2010-07-23 20:22:00,53.55774,35.08994,15.44949,9.16169
249,2010-07-23 23:22:00,29.06303,8.35815,2.84337,1.91766
250,2010-07-24 02:22:00,,10.33682,3.47532,1.38421
251,2010-07-24 05:22:00,29.27233,13.35869,11.31082,-0.56546
252,2010-07-24 08:22:00,80.64375,43.04152,5.68622,7.88483
253,2010-07-24 11:22:00,96.35438,105.21487,46.71933,1.15945
254,2010-07-24 14:22:00,55.56681,82.08461,34.29601,13.6098
255,2010-07-24 17:22:00,54.47951,60.71229,11.27469,8.03965
256,2010-07-24 20:22:00,42.95683,20.70018,5.13184,8.58944
257,2010-07-24 23:22:00,38.39437,-17.25858,6.49492,1.02627
258,2010-07-25 02:22:00,58.75789,-27.63507,0.73015,
259,2010-07-25 05:22:00,52.95828,-30.29662,1.93879,-1.18146
260,2010-07-25 08:22:00,70.26753,-27.74738,,-0.82463
261,2010-07-25 11:22:00,86.64758,-30.62436,-3.7472,2.01228
262,2010-07-25 14:22:00,164.30243,21.40697,43.67153,17.23332
263,2010-07-25 17:22:00,232.96274,48.4001,32.02069,13.29497
264,2010-07-25 20:22:00,38.08376,7.93907,11.47877,3.03118
265,2010-07-25 23:22:00,40.36574,-6.55436,4.53823,-0.5192
266,2010-07-26 02:22:00,68.85036,-19.71689,-6.0966,-2.81731
267,2010-07-26 05:22:00,138.5951,-39.23417,6.82384,
268,2010-07-26 08:22:00,118.14,-23.56633,6.34689,-2.82445
269,2010-07-26 11:22:00,224.56622,14.95885,42.6091,34.06269
270,2010-07-26 14:22:00,239.85254,96.34096,32.55801,
271,2010-07-26 17:22:00,87.26569,,14.86573,37.86519
272,2010-07-26 20:22:00,209.51875,42.45441,-0.48343,6.7641
273,2010-07-26 23:22:00,115.87476,11.72761,29.78668,5.5913
274,2010-07-27 02:22:00,88.2791,28.22269,34.78203,3.13797
275,2010-07-27 05:22:00,122.80701,-3.32133,31.77197,7.16696
276,2010-07-27 08:22:00,138.38561,34.1213,37.07468,9.42268
277,2010-07-27 11:22:00,224.79312,65.72268,36.06722,8.83282
278,2010-07-27 14:22:00,200.69723,88.9556,56.8915,20.30328
279,2010-07-27 17:22:00,154.26131,-16.52971,40.87537,6.25915
280,2010-07-27 20:22:00,24.83691,11.34629,4.7149,3.00867
281,2010-07-27 23:22:00,40.76228,1.69937,6.07831,4.63554
282,2010-07-28 05:22:00,147.82084,-17.62524,36.40545,1.53253
283,2010-07-28 11:22:00,189.86813,58.80152,13.52393,21.36542
284,2010-07-28 14:22:00,256.16035,97.61172,59.04675,20.7643
285,2010-07-28 17:22:00,199.90132,64.79311,62.76953,22.29071
286,2010-07-28 20:22:00,93.20933,48.6456,27.28982,11.89314
287,2010-07-28 23:22:00,47.87081,19.47871,22.29463,4.17613
288,2010-07-29 05:22:00,53.31872,-2.47654,26.59807,1.6659
289,2010-07-29 17:22:00,265.07017,,67.36928,27.7819
290,2010-07-29 20:22:00,148.24388,55.12584,15.58188,17.476
291,2010-07-29 23:22:00,77.65274,51.25981,40.59202,15.04717
292,2010-07-30 02:22:00,39.41026,-1.28795,8.18697,1.82728
293,2010-07-30 05:22:00,80.65605,-32.19964,26.16282,0.34745
294,2010-07-30 08:22:00,107.15775,71.7571,-13.68417,17.7065
295,2010-07-30 11:22:00,62.31725,1.94586,10.25441,1.64904
296,2010-07-30 14:22:00,143.42842,104.47796,34.73233,14.89479
297,2010-07-30 17:22:00,66.40352,38.22039,17.97315,9.85081
298,2010-07-30 20:22:00,35.58257,19.18906,5.64237,6.74237
299,2010-07-30 23:22:00,41.05729,7.09179,6.14266,-1.19602
300,2010-07-31 02:22:00,20.73185,-10.69102,3.48964,-0.44022
301,2010-07-31 05:22:00,28.58491,-1.23675,6.20979,-2.63021
302,2010-07-31 08:22:00,45.32259,31.22825,21.13489,6.3555
303,2010-07-31 11:22:00,60.15357,34.10334,22.72852,2.30513
304,2010-07-31 14:22:00,47.46988,58.06596,28.78887,-0.0331
305,2010-07-31 17:22:00,51.5938,28.6396,8.04685,3.26632
306,2010-07-31 20:22:00,,6.25964,6.91373,-0.22158
307,2010-07-31 23:22:00,18.75458,13.67168,7.54749,0.93002
308,2010-08-01 02:22:00,12.16901,1.08913,6.00966,3.09672
309,2010-08-01 05:22:00,30.6986,0.05837,9.5957,4.60055
310,2010-08-01 08:22:00,24.17409,51.13441,18.52253,12.18476
311,2010-08-01 11:22:00,75.73965,54.35539,23.3359,9.02371
312,2010-08-01 14:22:00,68.46834,15.66889,19.22882,8.62407
313,2010-08-01 17:22:00,76.89185,56.77845,22.83936,7.96194
314,2010-08-01 20:22:00,22.84882,12.56998,5.67032,2.3424
315,2010-08-01 23:22:00,16.15208,5.95573,5.39369,1.75586
316,2010-08-02 05:22:00,97.00878,-4.81487,28.70018,-2.17553
317,2010-08-02 08:22:00,70.50456,22.60232,20.02505,9.29334
318,2010-08-02 11:22:00,89.4105,69.01329,34.19958,15.51005
319,2010-08-02 14:22:00,58.60606,22.36774,20.38879,4.25214
320,2010-08-02 17:22:00,105.86138,60.37109,15.25345,11.76262
321,2010-08-02 20:22:00,34.90628,18.80529,10.41559,3.13254
322,2010-08-03 02:22:00,33.38194,-22.8212,-0.96279,-1.28698
323,2010-08-03 05:22:00,14.2229,-6.59779,1.93607,0.12501
324,2010-08-03 08:22:00,72.84355,-20.08798,8.24426,-0.46982
325,2010-08-03 11:22:00,70.4711,64.83107,16.05012,2.90606
326,2010-08-03 14:22:00,80.08026,33.224,35.38959,-10.84431
327,2010-08-03 23:22:00,94.83145,-12.31077,17.08684,3.30964
328,2010-08-04 05:22:00,76.43689,-41.16383,-13.01974,2.56245
329,2010-08-04 08:22:00,195.64702,,,-0.82285
330,2010-08-04 11:22:00,262.84187,-50.65326,34.95224,6.80539
331,2010-08-04 14:22:00,152.06109,1.55233,22.69842,12.69922
332,2010-08-04 17:22:00,140.7985,10.34186,20.51149,16.26873
333,2010-08-04 20:22:00,66.16069,23.49527,12.7504,8.34489
334,2010-08-04 23:22:00,46.20164,14.96896,1.07605,12.28423
335,2010-08-05 02:22:00,29.95,9.95092,-0.9592,2.10937
336,2010-08-05 05:22:00,28.9361,1.19856,1.08595,-4.63707
337,2010-08-05 08:22:00,83.07097,8.92155,8.95539,3.20459
338,2010-08-05 11:22:00,202.90567,36.88936,26.51617,10.69726
339,2010-08-05 14:22:00,49.65888,41.01722,19.17633,14.90771
340,2010-08-05 17:22:00,64.37246,46.29816,31.86103,2.30962
341,2010-08-06 08:22:00,156.40801,-3.99377,11.55013,19.33083
342,2010-08-06 11:22:00,173.06828,,13.92137,6.82522
343,2010-08-06 14:22:00,172.58542,23.40054,46.60207,26.88806
344,2010-08-06 17:22:00,145.12678,69.49675,39.09956,25.37922
345,2010-08-06 23:22:00,35.59409,11.20115,8.74286,2.62754
346,2010-08-07 05:22:00,22.21536,0.50714,5.84954,1.88366
347,2010-08-07 08:22:00,156.08851,58.86772,32.10769,19.99479
348,2010-08-07 11:22:00,240.40778,34.54449,21.55126,39.36345
349,2010-08-07 14:22:00,,82.09027,48.93708,38.35404
350,2010-08-08 02:22:00,100.88758,-40.27601,,-2.80724
351,2010-08-08 05:22:00,123.23016,,,
352,2010-08-08 08:22:00,84.8879,,-26.29096,
